name,description
Sun Shield Shirt,"High-performance sun shirt with UPF 50+ sun protection, blocking 98% of harmful UV rays. Slightly fitted, falls at hip. Moisture-wicking, abrasion-resistant fabric. Machine washable and dryable. Recommended by The Skin Cancer Foundation."
Men's Tropical Plaid Short-Sleeve Shirt,"Our lightest hot-weather shirt rated UPF 50+ for superior protection from the sun's UV rays. SunSmart technology blocks 98% of harmful UV rays. Wrinkle-resistant, front and back cape venting for cool breezes. Two front bellows pockets."
Women's Sun-Blocking Fishing Vest,"Multi-pocket fishing vest with built-in UPF 50+ sun protection. Lightweight mesh back panel for ventilation. Ten pockets to store gear, plus a rod holder loop. Machine washable."
Men's Classic Denim, Standard Fit,"Comfortable five-pocket denim jeans in a classic straight fit. 100% cotton, stonewashed for a broken-in feel. Machine washable, imported."
Women's Campside Oxfords,"Lightweight canvas oxfords perfect for casual walks or light hiking. Rubber traction outsole and cushioned footbed. Available in three colors."
Recycled Waterhog Dog Mat,"Durable, chew-proof dog mat made from 94% recycled materials. Absorbs water and dirt, keeping floors clean. Machine washable, non-slip backing."
Infant and Toddler Girls' Coastal Chill Swimsuit,"Two-piece swimsuit with UPF 50+ sun protection built into the fabric. Ruffle trim, easy on-off snaps. Chlorine-resistant, quick drying."
Refresh Swimwear V-Neck Tankini,"Chlorine-resistant tankini top with UPF 50+ built-in sun protection. Racerback straps for a secure fit. Pairs with our swim bottoms."
EcoFlex 3L Storm Pants,"Waterproof, breathable rain pants built for storm-level conditions. Fully seam-sealed with reinforced knees. Adjustable waist and ankle cuffs."
Alpine Fleece Quarter-Zip Pullover,"Midweight fleece pullover for cool mornings and evenings around camp. Brushed interior for extra warmth. Zippered chest pocket."
Women's NRS Endurance Wetsuit,"3mm neoprene wetsuit designed for cold-water paddling. Flexible panels at the shoulders for full range of motion. UPF 50+ fabric on exposed panels."
Trail Runner Hiking Shoes,"Lightweight trail shoes with aggressive rubber outsole for grip on loose terrain. Breathable mesh upper, cushioned midsole. Not water resistant."
Men's Storm Shell Rain Jacket,"Fully waterproof shell jacket with taped seams and adjustable hood. Packs into its own chest pocket. Not designed for sun protection, focused on rain performance."
Kids' Beach Comber Sandals,"Quick-dry sandals with adjustable straps for a secure fit at the beach or pool. Rubber outsole grips wet rocks. Machine washable straps."
Women's Sun Shade Hoodie,"Featherweight hoodie with UPF 50+ sun protection and thumbholes to cover the backs of your hands. Ideal for paddling, hiking, or a day at the beach."
